name,addr_city,lon,lat,leisure,sport,coordinates
Hallenstadion,Zürich,8.5516706,47.4114512,stadium,,"(8.5516706 , 47.4114512)"
Hallenbad City,Zürich,8.5328341,47.3721255,sports_centre,swimming,"(8.5328341 , 47.3721255)"
Saalsporthalle,,8.5202011,47.3566628,sports_centre,multi,"(8.5202011 , 47.3566628)"
Freibad Allenmoos,,8.5389228,47.4044712,sports_centre,swimming,"(8.5389228 , 47.4044712)"
Freibad Letzigraben,Zürich,8.4996059,47.3794053,sports_centre,swimming,"(8.4996059 , 47.3794053)"
Sportanlage Utogrund,,8.4968104,47.3790687,stadium,athletics,"(8.4968104 , 47.3790687)"
Sporthalle Utogrund (Klein),,8.4974059,47.3795152,sports_centre,multi,"(8.4974059 , 47.3795152)"
no,,8.4985869,47.4074811,sports_centre,athletics,"(8.4985869 , 47.4074811)"
Hallenbad Bläsi,Zürich,8.5018015,47.4014203,sports_centre,swimming,"(8.5018015 , 47.4014203)"
Sportplatz Sihlhölzli,,8.5251315,47.3679026,sports_centre,athletics,"(8.5251315 , 47.3679026)"
Schiesssport-Zentrum Hönggerberg,Zürich,8.4969363,47.4098768,sports_centre,shooting,"(8.4969363 , 47.4098768)"
Sportanlage Hardhof,,8.4998492,47.396508,sports_centre,multi,"(8.4998492 , 47.396508)"
no,,8.5112109,47.4068752,sports_centre,multi,"(8.5112109 , 47.4068752)"
Stadion Letzigrund,,8.5036829,47.3827897,stadium,,"(8.5036829 , 47.3827897)"
Sportzentrum Heuried,,8.5054055,47.3674441,sports_centre,multi,"(8.5054055 , 47.3674441)"
Wärmebad Käferberg,Zürich,8.5180103,47.3994203,sports_centre,swimming,"(8.5180103 , 47.3994203)"
Sporthalle Sihlhölzli,Zürich,8.5264535,47.3687709,sports_centre,multi,"(8.5264535 , 47.3687709)"
Sporthalle Hardau,,8.5089979,47.3825526,sports_centre,,"(8.5089979 , 47.3825526)"
Hallenbad Altstetten,Zürich,8.4796556,47.3885172,sports_centre,swimming,"(8.4796556 , 47.3885172)"
Flussbad Unterer Letten,Zürich,8.5291853,47.3893589,sports_centre,swimming,"(8.5291853 , 47.3893589)"
Hallenbad Oerlikon,Zürich,8.5565734,47.410129,sports_centre,swimming,"(8.5565734 , 47.410129)"
Freibad Seebach,,8.5468052,47.4239501,sports_centre,swimming,"(8.5468052 , 47.4239501)"
Minimum,,8.4953202,47.3816369,sports_centre,climbing,"(8.4953202 , 47.3816369)"
no,,8.4972553,47.3714796,sports_centre,,"(8.4972553 , 47.3714796)"
Hallenbad Leimbach,Zürich,8.5136933,47.3264533,sports_centre,swimming,"(8.5136933 , 47.3264533)"
Yonex Badminton Halle,,8.5206355,47.3851341,sports_centre,badminton,"(8.5206355 , 47.3851341)"
no,,8.5340242,47.3417253,sports_centre,,"(8.5340242 , 47.3417253)"
Eishalle Heuried,Zürich,8.5055918,47.3680121,sports_centre,ice_skating,"(8.5055918 , 47.3680121)"
no,,8.5281122,47.3654061,sports_centre,,"(8.5281122 , 47.3654061)"
Hallenbad Bungertwies,Zürich,8.5602139,47.3720227,sports_centre,swimming,"(8.5602139 , 47.3720227)"
Kunsteisbahn Dolder,,8.5766629,47.3752285,sports_centre,ice_skating,"(8.5766629 , 47.3752285)"
Sportanlage Heerenschürli,,8.5944209,47.4027629,sports_centre,,"(8.5944209 , 47.4027629)"
Sportanlage Eichrain,,8.5485848,47.4292752,sports_centre,multi,"(8.5485848 , 47.4292752)"
ASVZ Boulderanlage,,8.510613,47.4073688,sports_centre,climbing,"(8.510613 , 47.4073688)"
Freestylehalle Zürich,Zürich,8.4831113,47.39831,sports_centre,skateboard;bmx,"(8.4831113 , 47.39831)"
Sportanlage Sonnenberg,,8.5723506,47.3687446,sports_centre,,"(8.5723506 , 47.3687446)"
Offene Rennbahn Oerlikon,,8.5513486,47.4095583,stadium,,"(8.5513486 , 47.4095583)"
Sportanlage Allmend Brunau,,8.521955,47.3538623,sports_centre,multi,"(8.521955 , 47.3538623)"
Hochschulsportanlage Fluntern,,8.5736196,47.382476,sports_centre,multi,"(8.5736196 , 47.382476)"
Zürich,,,,,,"( , )"
